id;date_ajout;annonce_id;utilisateur_id
1;2023-12-15T20:54:59;1;1
2;2023-12-16T05:48:26;2;2
3;2023-12-16T00:33:24;3;1
4;2023-12-15T23:00:20;4;1
5;2023-12-15T09:46:56;5;1
6;2023-12-15T12:19:07;6;2
7;2023-12-15T20:16:00;7;1
8;2023-12-15T15:37:54;8;2
9;2023-12-15T10:10:00;9;1
10;2023-12-16T04:04:56;10;2
11;2023-12-16T03:28:22;11;2
12;2023-12-15T11:30:17;12;1
13;2023-12-15T16:08:44;13;1
14;2023-12-16T01:39:24;14;1
15;2023-12-16T01:13:01;15;2
16;2023-12-15T19:04:16;16;2
17;2023-12-15T08:46:12;17;2
18;2023-12-15T18:46:29;18;1
19;2023-12-15T19:10:15;19;1
20;2023-12-15T14:34:41;20;1
21;2023-12-15T16:49:59;21;2
22;2023-12-16T02:31:05;22;2
23;2023-12-16T05:28:57;23;1
24;2023-12-16T07:58:25;24;1
25;2023-12-15T10:41:24;25;2
26;2023-12-16T05:54:22;26;1
27;2023-12-15T08:42:56;27;2
28;2023-12-15T20:10:12;28;2
29;2023-12-15T13:20:27;29;1
30;2023-12-15T13:58:20;30;2
